x,ms
1,144
2,152
3,158
4,169
5,171
6,175
7,186
8,190
9,196
10,206
11,206
12,211
13,217
14,246
15,161
16,359
17,377
18,163
19,218
20,235
21,229
22,195
23,239
24,230
25,262
26,131
27,304
28,108
29,329
30,262
31,363
32,375
33,173
34,184
35,189
36,271
37,261
38,224
39,254
40,212
41,149
42,181
43,175
44,177
45,225
46,212
47,210
48,175
49,159
50,221
